P_O_Number,P_O_Date,Vendor_Code,Order_Qty,Vendor_Name,Material_Code,Material_Description,Order_By,Rate,Cost_Center
5200004186,07.08.2016,V10000027,193,Credence Infotech,IT1610000312,36W TL & TLD - 4Ft,Milind,1.46,0101.AMBE
5200004186,07.08.2016,V10000027,193,Credence Infotech,IT1610000312,36W TL & TLD - 2Ft,Milind,1.46,0101.ADHN
5200004186,07.08.2016,V10000027,193,Credence Infotech,IT1610000312,Electronic Starter,Milind,1.46,0101.ADHW
5200004186,07.08.2016,V10000027,193,Credence Infotech,IT1610000312,Copper choke,Milind,1.46,0101.ADHL
5200004186,07.08.2016,V10000027,192,Credence Infotech,IT1610000312,18W PLC Philips/Havells,Milind,1.46,0101.BDRA
5200004186,07.08.2016,V10000027,192,Credence Infotech,IT1610000312,18W copper choke,Milind,1.46,0101.AIRO
5200004186,07.08.2016,V10000027,192,Credence Infotech,IT1610000312,36W PLL Philips/Havells,Milind,1.46,0101.DHSE
5200004186,07.08.2016,V10000027,192,Credence Infotech,IT1610000312,36W copper choke,Milind,1.46,0101.DMBE
5200004186,07.08.2016,V10000027,192,Credence Infotech,IT1610000312,18W copper choke,Milind,1.46,0101.MNDP
5200004186,07.08.2016,V10000027,192,Credence Infotech,IT1610000312,Electronic Starter,Milind,1.46,0101.GKPE
5200004186,07.08.2016,V10000027,192,Credence Infotech,IT1610000312,Electronic Starter,Milind,1.46,0101.GKPE
5200004186,07.08.2016,V10000027,192,Credence Infotech,IT1610000312,Electronic Starter,Milind,1.46,0101.GKPE
5200004186,07.08.2016,V10000027,192,Credence Infotech,IT1610000312,Electronic Starter,Milind,1.46,0101.GKPE
